"","Site","Subsite","Range","Season","Date","Common_name","Subtype","Family","Abundance_for50","Abundance_for200"
"262","KB","Janice's","50m","early/mid","Dec 4 2024","mustards","Lepidium","Brassicaceae",NA,1
"263","KB","Janice's","50m","early/mid","Dec 4 2024","pale flax","Linum","Linaceae",NA,3
"264","KB","Western property (janices)","200m","early/mid","Dec 11 2024","Lupin","Lupine","Fabaceae",NA,1
"265","KB","Janice's","50m","early/mid","Dec 4 2024","primroses","Lysimachia","Primulaceae",NA,3
"266","KB","Western property (janices)","200m","early/mid","Dec 11 2024","horehound","Marrubium","Lamiaceae",NA,2
"267","KB","Janice's list","200m","early/mid",NA,"poataniwha","Melicope","Rutaceae",NA,0
"268","KB","Janice's","50m","early/mid","Dec 4 2024","mohoe","Melicytus","Violaceae",NA,3
"269","KB","Janice's","50m","early/mid","Dec 4 2024","pohuehue","Muehlenbeckia","Polygonaceae",NA,3
"270","KB","Janice's","50m","early/mid","Dec 4 2024","forget-me-not","Myosotis","Boraginaceae",NA,2
"271","KB","Janice's","200m","early/mid","Feb 6 2025",NA,"Myrsine","Primulaceae",NA,0
"272","KB","Janice's","50m","early/mid","Dec 4 2024","watercresses","Nasturtium","Tropaeolaceae",NA,1
"273","KB","Janice's list","200m","early/mid",NA,"fleshy nemesia","Nemesia","Scrophulariaceae",NA,0
"274","KB","Janice's","50m","early/mid","Dec 4 2024","common broomrape","Orobanche","Orobanchaceae",NA,2
"275","KB","Janice's list","200m","early/mid",NA,"NZ jasmine","Parsonsia","Apocynaceae",NA,0
"276","KB","Janice's list","200m","early/mid",NA,"kaikomako","Pennantia","Icacinaceae",NA,0
"277","KB","Janice's list","200m","early/mid",NA,"NZ purple flax","Phormium","Asphodeliaceae",NA,0
"278","KB","Janice's list","200m","early/mid",NA,NA,"Pittosporum","Pittosporaceae",NA,0
"279","KB","Janice's","50m","early/mid","Dec 4 2024","plantain grass","Plantago","Plantaginaceae",NA,5
"280","KB","Janice's","50m","early/mid","Dec 4 2024","buttercup","Ranunculus","Ranunculaceae",NA,5
"281","KB","Janice's list","200m","early/mid",NA,"supplejack","Ripogonum","Smilacaceae",NA,0
"282","KB","Janice's","50m","early/mid","Dec 4 2024","elderberry","Sambucus","Adoxaceae",NA,1
"283","KB","Western property (janices)","200m","early/mid","Dec 11 2024","Blue Field Madder","Sherardia","Rubiaceae",NA,1
"284","KB","Janice's","50m","early/mid","Dec 4 2024","nightshades","Solanum","Solanaceae",NA,2
"285","KB","Janice's","50m","early/mid","Dec 4 2024","daisies","Sonchus","Asteraceae",NA,2
"286","KB","Janice's list","200m","early/mid",NA,"chickweed","Stellaria","Caryophyllaceae",NA,0
"287","KB","Janice's list","200m","early/mid",NA,"small-leaved milk tree","Streblus","Moraceae",NA,0
"288","KB","Janice's list","200m","early/mid",NA,"bower spinach","Tetragonia","Aizoaceae",NA,0
"289","KB","Janice's","50m","early/mid","Dec 4 2024","clover","Trifolium","Fabaceae",NA,5
"290","KB","Western property (janices)","200m","early/mid","Dec 11 2024","Nasturtium","Tropaeolum","Tropaeolaceae",NA,3
"291","KB","Western property (janices)","200m","early/mid","Dec 11 2024","gorse","Ulex","Fabaceae",NA,4
"292","KB","Janice's","50m","early/mid","Dec 4 2024","veronicas","Veronica","Plantaginaceae",NA,1
"293","KB","North neighbour","200m","early/mid","Dec 18 2024","vetch","Vicia","Fabaceae",NA,2
"294","KB","Janice's list","200m","early/mid",NA,"white mountain viola","Viola","Violaceae",NA,0
"295","KB","Western property (janices)","200m","early/mid","Dec 11 2024","(fruiting bush)",NA,NA,NA,3
"296","JAM","JAM","50m","late","Jan 21 2025",NA,"Abelia","Caprifoliaceae",NA,1
"297","JAM","67 Tirohanga","200m","late","Jan 24 2026","lily of the nile","Agapanthus","Amaryllidaceae",NA,2
"298","JAM","67 Tirohanga","200m","late","Jan 24 2026","landy's mantles","Alchemilla","Rosaceae",NA,2
"299","JAM","79 Tirohanga","200m","late","Jan 24 2026","onion","Allium","Amaryllidaceae",NA,1
"300","JAM","85 Tirohanga","200m","late","Jan 24 2026","peruvian lily","Alstroemeria","Alstroemeriaceae",NA,2
"301","JAM","JAM","200m","late","Jan 21 2025","snap dragons","Antirrhinum","Plantaginaceae",NA,1
"302","JAM","79 Tirohanga","200m","late","Jan 24 2026","yarrow","Archillea","Asteraceae",NA,2
"303","JAM","85 Tirohanga","200m","late","Jan 24 2026","thrift","Armeria","Plumbaginaceae",NA,1
"304","JAM","85 Tirohanga","200m","late","Jan 24 2026","false goat's beards","Astillbe","Saxifragaceae",NA,1
"305","JAM","87 Tirohanga","200m","late","Jan 24 2026","yellow glandweed","Bellardia","Orobanchaceae",NA,2
"306","JAM","JAM","50m","late","Jan 21 2025","daisy","Bellis","Asteraceae",NA,3
"307","JAM","67 Tirohanga","200m","late","Jan 27 2025",NA,"Bergenia","Saxifragaceae",NA,1
"308","JAM","JAM","200m","late","Jan 21 2025","bushman's friend","Brachyglottis","Asteraceae",NA,1
"309","JAM","85 Tirohanga","200m","late","Jan 24 2026","butterfly bush","Buddleja","Scrophulariaceae",NA,2
"310","JAM","85 Tirohanga","200m","late","Jan 24 2026","false bindweeds","Calystegia","Convolvulaceae",NA,1
"311","JAM","55 Tirohanga","200m","late","Jan 27 2025","sherpards purse","Capsella","Brassicaceae",NA,2
"312","JAM","JAM","50m","late","Jan 21 2025","peppers","Capsicum","Solanaceae",NA,1
"313","JAM","85 Tirohanga","200m","late","Jan 24 2026","hairy bittercress","Cardamine","Brassicaceae",NA,2
"314","JAM","79 Tirohanga","200m","late","Jan 24 2026","chickweed","Cerastium","Caryophyllaceae",NA,3
"315","JAM","85 Tirohanga","200m","late","Jan 24 2026","flowering quinces","Chaenomeles","Rosaceae",NA,1
"316","JAM","JAM","200m","late","Jan 21 2025",NA,"Chamomile","Asteraceae",NA,1
"317","JAM","65 Tirohanga","200m","late","Jan 27 2025","mexican orange","Choisya","Rutaceae",NA,2
"318","JAM","85 Tirohanga","200m","late","Jan 24 2026","chrysanthemums","Chrysanthemum","Asteraceae",NA,1
"319","JAM","65 Tirohanga","200m","late","Jan 27 2025","dandelion","Cichorieae","Asteraceae",NA,5
"320","JAM","JAM","50m","late","Jan 21 2025",NA,"Citrus","Rutaceae",NA,1
"321","JAM","85 Tirohanga","200m","late","Jan 24 2026","poison hemlock","Conium","Apiaceae",NA,2
"322","JAM","85 Tirohanga","200m","late","Jan 24 2026","cosmos","Cosmos","Asteraceae",NA,1
"323","JAM","79 Tirohanga","200m","late","Jan 24 2026","smooth hawksbeard","Crepis","Asteraceae",NA,4
"324","JAM","JAM","50m","late","Jan 21 2025","cucumber","Cucumis","Cucurbitaceae",NA,1
"325","JAM","JAM","50m","late","Jan 21 2025","sqaush","Cucurbita","Cucurbitaceae",NA,1
"326","JAM","JAM","50m","late","Jan 21 2025","dahlia","Dahlia","Asteraceae",NA,1
"327","JAM","85 Tirohanga","200m","late","Jan 24 2026","carnations","Dianthus","Caryophyllaceae",NA,1
"328","JAM","87 Tirohanga","200m","late","Jan 24 2026","foxgloves","Digitalis","Plantaginaceae",NA,1
"329","JAM","61 Tirohanga","200m","late","Jan 27 2025","God's throne","Echeveria","Crassulaceae",NA,1
"330","JAM","63 Tirohanga","200m","late","Jan 27 2025","willowherbs","Epilobium","Onagraceae",NA,3
"331","JAM","61 Tirohanga","200m","late","Jan 27 2025","japanese anenome","Eriocapitella","Asteraceae",NA,2
"332","JAM","77 Tirohanga","200m","late","Jan 24 2026","storks bill","Erodium","Geraniaceae",NA,3
"333","JAM","85 Tirohanga","200m","late","Jan 24 2026","redclaws","Escallonia","Escalloniaceae",NA,1
"334","JAM","79 Tirohanga","200m","late","Jan 24 2026","poppies","Eschscholzia","Papaveraceae",NA,2
"335","JAM","61 Tirohanga","200m","late","Jan 27 2025","spurges","Euphorbia","Euphorbioceae",NA,1
"336","JAM","79 Tirohanga","200m","late","Jan 24 2026","feijoa","Feijoa","Myrtaceae",NA,2
"337","JAM","61 Tirohanga","200m","late","Jan 27 2025","fenell","Foeniculum","Apiaceae",NA,2
"338","JAM","JAM","50m","late","Jan 21 2025","strawberry","Fragaria","Rosaceae",NA,1
"339","JAM","85 Tirohanga","200m","late","Jan 24 2026","ashes","Fraxinus","Oleaceae",NA,1
"340","JAM","85 Tirohanga","200m","late","Jan 24 2026","fuchsia","Fuchsia","Onagraceae",NA,1
"341","JAM","55 Tirohanga","200m","late","Jan 27 2025","fumitory","Fumaria","Papaveraceae",NA,2
"342","JAM","55 Tirohanga","200m","late","Jan 27 2025","gallant soldier","Galinsoga","Asteraceae",NA,2
"343","JAM","61 Tirohanga","200m","late","Jan 27 2025","crane's bill","Geranium","Geraniaceae",NA,3
"344","JAM","JAM","50m","late","Jan 21 2025","gladioli","Gladiolus","Iridaceae",NA,1
"345","JAM","87 Tirohanga","200m","late","Jan 24 2026","gromwell","Glendora","Boraginaceae",NA,1
"346","JAM","69 Tirohanga","200m","late","Jan 27 2025","hosta","Hosta","Asparagaceae",NA,1
"347","JAM","68 Tirohanga","200m","late","Jan 27 2025",NA,"Hydrangeas","Hydrangeaceae",NA,2
"348","JAM","77 Tirohanga","200m","late","Jan 24 2026","iris","Iris","Idrisaceae",NA,2
"349","JAM","89 Tirohanga","200m","late","Jan 24 2026","pokers","Kniphofia","Asphodelaceae",NA,1
"350","JAM","55 Tirohanga","200m","late","Jan 27 2025","dead nettle","Lamium","Lamiaceae",NA,2
"351","JAM","85 Tirohanga","200m","late","Jan 24 2026","spectucular brightfig","Lampranthus","Aizoaceae",NA,1
"352","JAM","61 Tirohanga","200m","late","Jan 27 2025","nipplewort","Lapsana","Asteraceae",NA,2
"353","JAM","JAM","200m","late","Jan 21 2025","Lavendar","Lavandula","Lamiaceae",NA,2
"354","JAM","67 Tirohanga","200m","late","Jan 24 2026","lavender","Lavendula","Lamiaceae",NA,3
"355","JAM","87 Tirohanga","200m","late","Jan 24 2026","oxeye daisy","Leucanthemum","Asteraceae",NA,3
"356","JAM","85 Tirohanga","200m","late","Jan 24 2026",NA,"Lewisia","Montiaceae",NA,1
"357","JAM","JAM","50m","late","Jan 21 2025","honeysuckle","Leycesteria","Caprifoliaceae",NA,2
"358","JAM","JAM","50m","late","Jan 21 2025","lily","Lilium","Liliaceae",NA,1
"359","JAM","62 Tirohanga","200m","late","Jan 27 2025","toadflax","Linaria","Plantaginaceae",NA,2
"360","JAM","JAM","200m","late","Jan 21 2025",NA,"Lobelia","Campanulaceae",NA,1
"361","JAM","85 Tirohanga","200m","late","Jan 24 2026","sweet alyssum","Lobularia","Brassicaceae",NA,1
"362","JAM","67 Tirohanga","200m","late","Jan 24 2026","pincushion","Lomelosia","Caprifoliaceae",NA,1
"363","JAM","67 Tirohanga","200m","late","Jan 24 2026",NA,"Lophomyrtus","Myrtaceae",NA,2
"364","JAM","87 Tirohanga","200m","late","Jan 24 2026","greater bird's-foot-trefoil","Lotus","Fabaceae",NA,1
"365","JAM","65 Tirohanga","200m","late","Jan 27 2025",NA,"Lunaria","Brassicaceae",NA,1
"366","JAM","85 Tirohanga","200m","late","Jan 24 2026","lupine","Lupine","Fabaceae",NA,1
"367","JAM","55 Tirohanga","200m","late","Jan 27 2025","loosestrife","Lysimachia","Primulaceae",NA,2
"368","JAM","67 Tirohanga","200m","late","Jan 24 2026","magnolia","Magnolia","Magnoliaceae",NA,1
"369","JAM","85 Tirohanga","200m","late","Jan 24 2026","stock","Matthiola","Brassicaceae",NA,1
"370","JAM","JAM","200m","late","Jan 21 2025","mint","Mentha","Lamiaceae",NA,1
"371","JAM","64 Tirohanga","200m","late","Jan 27 2025","wall lettuce","Mycelis","Asteraceae",NA,2
"372","JAM","85 Tirohanga","200m","late","Jan 24 2026","forget-me-nots","Myosotis","Boraginaceae",NA,2
"373","JAM","JAM","50m","late","Jan 21 2025","feijoa","Myrtle","Myrtaceae",NA,1
"374","JAM","85 Tirohanga","200m","late","Jan 24 2026","lily pads","Nymphaea","Nymphaeaceae",NA,1
"375","JAM","79 Tirohanga","200m","late","Jan 24 2026","basil","Ocimum","Lamiaceae",NA,1
"376","JAM","JAM","50m","late","Jan 21 2025",NA,"Ozothamnus","Asteraceae",NA,1
"377","JAM","67 Tirohanga","200m","late","Jan 24 2026","boxwood","Pachyslegia","Asteraceae",NA,1
"378","JAM","JAM","200m","late","Jan 21 2025","poppy","Papaver","Papaveraceae",NA,1
"379","JAM","65 Tirohanga","200m","late","Jan 27 2025","beard tongue","Penstemon","Plantaginaceae",NA,1
"380","JAM","85 Tirohanga","200m","late","Jan 24 2026","knotweeds","Persicaria","Polygonaceae",NA,2
"381","JAM","JAM","50m","late","Jan 21 2025","beans","Phaseolus","Fabaceae",NA,1
"382","JAM","JAM","50m","late","Jan 21 2025","peas","Pisum","Fabaceae",NA,1
"383","JAM","JAM","50m","late","Jan 21 2025","grass","Plantago","Plantaginaceae",NA,5
"384","JAM","55 Tirohanga","200m","late","Jan 27 2025","knotweed","Polygonum","Polygonaceae",NA,1
"385","JAM","85 Tirohanga","200m","late","Jan 24 2026","primroses","Primula","Primulaceae",NA,1
"386","JAM","JAM","50m","late","Jan 21 2025","woundwart","Prunella","Lamiaceae",NA,2
"387","JAM","79 Tirohanga","200m","late","Jan 24 2026","buttercup","Ranunculus","Ranunculaceae",NA,4
"388","JAM","85 Tirohanga","200m","late","Jan 24 2026","Rhododendron/azelea","Rhododendron","Ericaceae",NA,1
"389","JAM","87 Tirohanga","200m","late","Jan 24 2026","roses","Rosa","Rosaceae",NA,3
"390","JAM","JAM","50m","late","Jan 21 2025","brambles","Rubus","Rosaceae",NA,1
"391","JAM","JAM","50m","late","Feb 4 2025","pearlworts","Sagina","Caryophyllaceae",NA,1
"392","JAM","79 Tirohanga","200m","late","Jan 24 2026","rosemary","Salvia","Lamiaceae",NA,1
"393","JAM","79 Tirohanga","200m","late","Jan 24 2026","grondsel","Senecio","Asteraceae",NA,2
"394","JAM","87 Tirohanga","200m","late","Jan 24 2026","rose campion","Silene","Caryophyllaceae",NA,2
"395","JAM","65 Tirohanga","200m","late","Jan 27 2025","hedge mustards","Sisybrium","Brassicaceae",NA,2
"396","JAM","61 Tirohanga","200m","late","Jan 27 2025","Blue-eyed grasses","Sisyrinchium","Iridaceae",NA,1
"397","JAM","61 Tirohanga","200m","late","Jan 27 2025","nightshade","Solanum","Solanaceae",NA,3
"398","JAM","85 Tirohanga","200m","late","Jan 24 2026","thistle","Sonchus","Asteraceae",NA,4
"399","JAM","55 Tirohanga","200m","late","Jan 27 2025",NA,"Spergula","Caryophyllaceae",NA,2
"400","JAM","66 Tirohanga","200m","late","Jan 27 2025","hedgenettle","Stachys","Lamiaceae",NA,2
"401","JAM","61 Tirohanga","200m","late","Jan 27 2025","comfrey","Symphytum","Boraginaceae",NA,1
"402","JAM","85 Tirohanga","200m","late","Jan 24 2026","mexican marigold","Tagetes","Asteraceae",NA,2
"403","JAM","87 Tirohanga","200m","late","Jan 24 2026","germanders","Teucrium","Lamiaceae",NA,1
"404","JAM","79 Tirohanga","200m","late","Jan 24 2026","thyme","Thymus","Lamiaceae",NA,2
"405","JAM","79 Tirohanga","200m","late","Jan 24 2026",NA,"Trachelospermum","Apocynaceae",NA,1
"406","JAM","61 Tirohanga","200m","late","Jan 27 2025","spiderwort","Tradescantia","Commelinaceae",NA,1
"407","JAM","JAM","50m","late","Jan 21 2025","trefoil","Trifolium","Fabaceae",NA,5
"408","JAM","JAM","50m","late","Jan 21 2025","nasturtium","Tropaeolum","Tropaeolaceae",NA,1
"409","JAM","JAM","200m","late","Jan 21 2025","Chilean guava","Ugni","Myrtaceae",NA,1
"410","JAM","65 Tirohanga","200m","late","Jan 27 2025","speedwell","Veronica","Plantaginaceae",NA,3
"411","JAM","79 Tirohanga","200m","late","Jan 24 2026","viburnum","Viburnum","Adoxaceae",NA,2
"412","JAM","79 Tirohanga","200m","late","Jan 24 2026","vetch","Vicia","Fabaceae",NA,2
"413","JAM","79 Tirohanga","200m","late","Jan 24 2026","pansy","Viola","Violaceae",NA,2
"414","JAM","65 Tirohanga","200m","late","Jan 27 2025",NA,"Weigela","Caprifoliaceae",NA,1
"415","JAM","85 Tirohanga","200m","late","Jan 24 2026","calla lily","Zantedeschia","Araceae",NA,1
"416","KB","Janice's","200m","late","Feb 6 2025","burdock","Arctium","Asteraceae",NA,1
"417","KB","Janice's","50m","late","Jan 29 2025",NA,"Bellardia","Orobanchaceae",NA,1
"418","KB","eastern property","200m","late","Feb 6 2025","daisy","Bellis","Asteraceae",NA,1
"419","KB","eastern property","200m","late","Feb 6 2025",NA,"Brassicodeae","Brassicaceae",NA,1
"420","KB","eastern property","200m","late","Feb 6 2025",NA,"Centaurium","Gentianaceae",NA,1
"421","KB","eastern property","200m","late","Feb 6 2025","chickweed","Cerastium","Caryophyllaceae",NA,4
"422","KB","Janice's","50m","late","Jan 29 2025","dandelion","Cichorieae","Asteraceae",NA,5
"423","KB","Janice's","50m","late","Jan 29 2025","thistle","Cirsium","Asteraceae",NA,3
"424","KB","eastern property","200m","late","Feb 6 2025",NA,"Conium","Apiaceae",NA,1
"425","KB","Janice's","50m","late","Jan 29 2025","hawksbeard","Crepis","Asteraceae",NA,5
"426","KB","eastern property","200m","late","Feb 6 2025",NA,"Digitalis","Plantaginaceae",NA,1
"427","KB","Janice's","50m","late","Jan 29 2025","flea bane","Erigeron","Asteraceae",NA,1
"428","KB","Janice's","50m","late","Jan 29 2025","monkey flower","Erythranthe","Phrymaceae",NA,1
"429","KB","eastern property","200m","late","Feb 6 2025",NA,"Galium","Rubiaceae",NA,2
"430","KB","Janice's","200m","late","Feb 6 2025",NA,"Kunzea","Myrtaceae",NA,4
"431","KB","Janice's","200m","late","Feb 6 2025",NA,"Lagenophora","Asteraceae",NA,1
"432","KB","Janice's","50m","late","Jan 29 2025","flax","Linum","Linaceae",NA,1
"433","KB","eastern property","200m","late","Feb 6 2025",NA,"Lotus","Fabaceae",NA,2
"434","KB","Janice's","200m","late","Jan 29 2025","lupin","Lupinus","Fabaceae",NA,1
"435","KB","Janice's","50m","late","Jan 29 2025","loosestrife","Lysimachia","Primulaceae",NA,2
"436","KB","Janice's","50m","late","Jan 29 2025","forget-me-not","Myosotis","Boraginaceae",NA,1
"437","KB","Janice's","50m","late","Jan 29 2025","grass","Plantago","Plantaginaceae",NA,5
"438","KB","Janice's","200m","late","Jan 29 2025","Heal-all","Prunella","Lamiaceae",NA,1
"439","KB","Janice's","50m","late","Jan 29 2025","buttercup","Ranunculus","Ranunculaceae",NA,1
"440","KB","eastern property","200m","late","Feb 6 2025",NA,"Senecio","Asteraceae",NA,1
"441","KB","Janice's","50m","late","Jan 29 2025","nightshade","Solanum","Solanaceae",NA,1
"442","KB","Janice's","50m","late","Jan 29 2025","sow thistles","Sonchus","Asteraceae",NA,2
"443","KB","Janice's","50m","late","Jan 29 2025","chickweed","Stellaria","Caryophyllaceae",NA,1
"444","KB","eastern property","200m","late","Feb 6 2025","clover","Trifolium","Fabaceae",NA,5
"445","KB","Janice's","50m","late","Jan 29 2025","nasturtium","Tropaeolum","Tropaeolaceae",NA,1
"446","KB","eastern property","200m","late","Feb 6 2025","gorse","Ulex","Fabaceae",NA,1
"447","KB","eastern property","200m","late","Feb 6 2025","vetch","Vicia","Fabaceae",NA,2
